timestamp,meter_id,building_zone,kwh_consumed,peak_demand_kw,temperature_f,occupancy_count
2026-09-01 22:00,MTR-103,Zone-C,7.82,9.67,54.7,0
2026-09-01 23:00,MTR-101,Zone-A,13.24,16.23,54.3,2
2026-09-01 23:00,MTR-102,Zone-B,21.51,28.97,54.3,0
2026-09-01 23:00,MTR-103,Zone-C,8.78,9.34,54.3,0
2026-09-02 00:00,MTR-101,Zone-A,14.49,16.7,48.3,0
2026-09-02 00:00,MTR-102,Zone-B,25.15,34.16,48.3,0
2026-09-02 00:00,MTR-103,Zone-C,8.11,11.0,48.3,0
2026-09-02 01:00,MTR-101,Zone-A,14.48,17.35,48.2,0
2026-09-02 01:00,MTR-102,Zone-B,24.4,31.59,48.2,0
2026-09-02 01:00,MTR-103,Zone-C,6.44,7.06,48.2,0
2026-09-02 02:00,MTR-101,Zone-A,14.81,17.89,46.6,0
2026-09-02 02:00,MTR-102,Zone-B,22.12,29.65,46.6,0
2026-09-02 02:00,MTR-103,Zone-C,5.63,7.72,46.6,0
2026-09-02 03:00,MTR-101,Zone-A,11.3,14.09,47.4,0
2026-09-02 03:00,MTR-102,Zone-B,21.03,27.44,47.4,1
2026-09-02 03:00,MTR-103,Zone-C,8.19,8.76,47.4,0
2026-09-02 04:00,MTR-101,Zone-A,12.19,14.77,50.4,0
2026-09-02 04:00,MTR-102,Zone-B,25.7,35.56,50.4,0
2026-09-02 04:00,MTR-103,Zone-C,5.0,7.9,50.4,0
2026-09-02 05:00,MTR-101,Zone-A,12.31,16.04,51.5,0
2026-09-02 05:00,MTR-102,Zone-B,21.62,28.31,51.5,0
2026-09-02 05:00,MTR-103,Zone-C,8.77,10.84,51.5,0
2026-09-02 06:00,MTR-101,Zone-A,12.87,15.25,56.5,1
2026-09-02 06:00,MTR-102,Zone-B,23.62,33.04,56.5,0
2026-09-02 06:00,MTR-103,Zone-C,8.42,9.85,56.5,0
2026-09-02 07:00,MTR-101,Zone-A,13.74,17.64,59.3,1
2026-09-02 07:00,MTR-102,Zone-B,23.74,30.97,59.3,0
2026-09-02 07:00,MTR-103,Zone-C,8.72,10.48,59.3,1
2026-09-02 08:00,MTR-101,Zone-A,80.87,88.75,64.2,32
2026-09-02 08:00,MTR-102,Zone-B,192.27,247.58,64.2,50
2026-09-02 08:00,MTR-103,Zone-C,30.88,32.5,64.2,11
2026-09-02 09:00,MTR-101,Zone-A,72.17,81.21,68.1,28
2026-09-02 09:00,MTR-102,Zone-B,185.05,237.39,68.1,46
2026-09-02 09:00,MTR-103,Zone-C,31.52,32.9,68.1,9
2026-09-02 10:00,MTR-101,Zone-A,70.66,79.34,74.9,17
2026-09-02 10:00,MTR-102,Zone-B,188.01,241.82,74.9,44
2026-09-02 10:00,MTR-103,Zone-C,34.06,34.77,74.9,13
2026-09-02 11:00,MTR-101,Zone-A,82.99,91.31,78.2,24
2026-09-02 11:00,MTR-102,Zone-B,185.25,236.57,78.2,40
2026-09-02 11:00,MTR-103,Zone-C,38.96,41.87,78.2,12
2026-09-02 12:00,MTR-101,Zone-A,85.52,96.2,78.4,31
2026-09-02 12:00,MTR-102,Zone-B,160.17,205.93,78.4,29
2026-09-02 12:00,MTR-103,Zone-C,40.69,42.76,78.4,12
2026-09-02 13:00,MTR-101,Zone-A,68.84,77.97,83.7,13
2026-09-02 13:00,MTR-102,Zone-B,213.69,272.94,83.7,49
2026-09-02 13:00,MTR-103,Zone-C,42.54,44.5,83.7,10
2026-09-02 14:00,MTR-101,Zone-A,89.17,98.18,80.1,30
2026-09-02 14:00,MTR-102,Zone-B,211.19,271.62,80.1,50
2026-09-02 14:00,MTR-103,Zone-C,47.21,47.78,80.1,14
2026-09-02 15:00,MTR-101,Zone-A,84.62,95.24,84.2,26
2026-09-02 15:00,MTR-102,Zone-B,206.44,263.93,84.2,47
2026-09-02 15:00,MTR-103,Zone-C,41.06,42.69,84.2,14
2026-09-02 16:00,MTR-101,Zone-A,85.74,94.93,78.5,28
2026-09-02 16:00,MTR-102,Zone-B,169.9,218.04,78.5,31
2026-09-02 16:00,MTR-103,Zone-C,41.26,43.16,78.5,14
2026-09-02 17:00,MTR-101,Zone-A,72.83,81.84,77.4,18
2026-09-02 17:00,MTR-102,Zone-B,189.8,242.1,77.4,42
2026-09-02 17:00,MTR-103,Zone-C,34.34,35.82,77.4,8
2026-09-02 18:00,MTR-101,Zone-A,74.5,83.73,75.3,23
2026-09-02 18:00,MTR-102,Zone-B,172.84,221.63,75.3,38
2026-09-02 18:00,MTR-103,Zone-C,34.15,35.25,75.3,8
2026-09-02 19:00,MTR-101,Zone-A,10.59,12.92,70.2,0
2026-09-02 19:00,MTR-102,Zone-B,25.58,33.49,70.2,1
2026-09-02 19:00,MTR-103,Zone-C,7.02,7.62,70.2,0
2026-09-02 20:00,MTR-101,Zone-A,10.81,12.51,64.2,0
2026-09-02 20:00,MTR-102,Zone-B,20.35,27.31,64.2,0
2026-09-02 20:00,MTR-103,Zone-C,7.21,9.44,64.2,0
2026-09-02 21:00,MTR-101,Zone-A,12.32,16.24,59.3,1
2026-09-02 21:00,MTR-102,Zone-B,23.78,32.64,59.3,0
2026-09-02 21:00,MTR-103,Zone-C,6.57,7.59,59.3,0
2026-09-02 22:00,MTR-101,Zone-A,8.55,10.75,55.6,0
2026-09-02 22:00,MTR-102,Zone-B,23.78,33.0,55.6,0
2026-09-02 22:00,MTR-103,Zone-C,6.02,7.85,55.6,0
2026-09-02 23:00,MTR-101,Zone-A,10.57,12.64,52.1,0
2026-09-02 23:00,MTR-102,Zone-B,22.22,29.59,52.1,0
2026-09-02 23:00,MTR-103,Zone-C,7.43,8.75,52.1,0
2026-09-03 00:00,MTR-101,Zone-A,13.32,16.28,51.9,0
2026-09-03 00:00,MTR-102,Zone-B,26.06,35.53,51.9,0
2026-09-03 00:00,MTR-103,Zone-C,9.02,9.84,51.9,0
2026-09-03 01:00,MTR-101,Zone-A,9.93,12.76,46.3,0
2026-09-03 01:00,MTR-102,Zone-B,22.54,29.78,46.3,0
2026-09-03 01:00,MTR-103,Zone-C,7.69,8.57,46.3,0
2026-09-03 02:00,MTR-101,Zone-A,11.27,13.51,46.0,0
2026-09-03 02:00,MTR-102,Zone-B,18.75,26.82,46.0,0
2026-09-03 02:00,MTR-103,Zone-C,8.53,10.02,46.0,0
2026-09-03 03:00,MTR-101,Zone-A,13.13,16.5,46.7,0
2026-09-03 03:00,MTR-102,Zone-B,25.56,33.73,46.7,1
2026-09-03 03:00,MTR-103,Zone-C,9.93,10.9,46.7,0
2026-09-03 04:00,MTR-101,Zone-A,9.29,11.24,48.3,0
2026-09-03 04:00,MTR-102,Zone-B,20.21,27.67,48.3,0
2026-09-03 04:00,MTR-103,Zone-C,8.7,10.4,48.3,0
2026-09-03 05:00,MTR-101,Zone-A,12.07,14.0,51.3,0
2026-09-03 05:00,MTR-102,Zone-B,21.6,29.69,51.3,0
2026-09-03 05:00,MTR-103,Zone-C,8.64,10.63,51.3,0
2026-09-03 06:00,MTR-101,Zone-A,10.8,14.61,52.3,0
2026-09-03 06:00,MTR-102,Zone-B,22.75,29.91,52.3,1
2026-09-03 06:00,MTR-103,Zone-C,7.63,9.98,52.3,0
2026-09-03 07:00,MTR-101,Zone-A,12.38,15.99,62.1,0
2026-09-03 07:00,MTR-102,Zone-B,22.02,30.56,62.1,0
2026-09-03 07:00,MTR-103,Zone-C,7.02,8.83,62.1,0
2026-09-03 08:00,MTR-101,Zone-A,66.73,74.39,66.3,23
2026-09-03 08:00,MTR-102,Zone-B,167.6,215.07,66.3,38
2026-09-03 08:00,MTR-103,Zone-C,28.12,30.89,66.3,9
2026-09-03 09:00,MTR-101,Zone-A,86.17,95.34,68.3,35
2026-09-03 09:00,MTR-102,Zone-B,154.35,199.18,68.3,32
2026-09-03 09:00,MTR-103,Zone-C,41.8,43.08,68.3,13
2026-09-03 10:00,MTR-101,Zone-A,72.26,79.61,75.2,23
2026-09-03 10:00,MTR-102,Zone-B,204.16,260.71,75.2,47
2026-09-03 10:00,MTR-103,Zone-C,32.1,34.4,75.2,7
2026-09-03 11:00,MTR-101,Zone-A,85.53,94.67,79.8,26
2026-09-03 11:00,MTR-102,Zone-B,194.16,248.0,79.8,41
2026-09-03 11:00,MTR-103,Zone-C,38.9,40.93,79.8,11
2026-09-03 12:00,MTR-101,Zone-A,88.15,98.1,80.8,28
2026-09-03 12:00,MTR-102,Zone-B,196.75,253.22,80.8,42
2026-09-03 12:00,MTR-103,Zone-C,38.2,41.16,80.8,9
2026-09-03 13:00,MTR-101,Zone-A,85.2,94.28,86.2,23
2026-09-03 13:00,MTR-102,Zone-B,211.26,270.72,86.2,46
2026-09-03 13:00,MTR-103,Zone-C,40.64,42.01,86.2,15
2026-09-03 14:00,MTR-101,Zone-A,83.01,91.41,82.5,21
2026-09-03 14:00,MTR-102,Zone-B,178.66,228.79,82.5,33
2026-09-03 14:00,MTR-103,Zone-C,39.95,40.48,82.5,11
2026-09-03 15:00,MTR-101,Zone-A,100.94,111.65,80.9,38
2026-09-03 15:00,MTR-102,Zone-B,191.39,244.61,80.9,40
2026-09-03 15:00,MTR-103,Zone-C,42.88,43.86,80.9,15
2026-09-03 16:00,MTR-101,Zone-A,81.44,91.28,80.5,26
2026-09-03 16:00,MTR-102,Zone-B,182.01,233.55,80.5,39
2026-09-03 16:00,MTR-103,Zone-C,31.53,34.18,80.5,6
2026-09-03 17:00,MTR-101,Zone-A,75.58,83.97,77.5,21
2026-09-03 17:00,MTR-102,Zone-B,198.42,253.08,77.5,44
2026-09-03 17:00,MTR-103,Zone-C,30.36,31.46,77.5,6
2026-09-03 18:00,MTR-101,Zone-A,79.09,88.86,73.6,28
2026-09-03 18:00,MTR-102,Zone-B,173.43,223.47,73.6,38
2026-09-03 18:00,MTR-103,Zone-C,29.82,30.77,73.6,7
2026-09-03 19:00,MTR-101,Zone-A,14.65,18.53,67.2,1
2026-09-03 19:00,MTR-102,Zone-B,21.44,29.26,67.2,0
2026-09-03 19:00,MTR-103,Zone-C,5.39,7.45,67.2,0
2026-09-03 20:00,MTR-101,Zone-A,8.75,10.78,66.9,0
2026-09-03 20:00,MTR-102,Zone-B,21.68,30.26,66.9,1
2026-09-03 20:00,MTR-103,Zone-C,8.1,10.84,66.9,0
2026-09-03 21:00,MTR-101,Zone-A,14.02,16.47,59.8,0
2026-09-03 21:00,MTR-102,Zone-B,20.48,26.91,59.8,0
2026-09-03 21:00,MTR-103,Zone-C,8.61,11.57,59.8,1
2026-09-03 22:00,MTR-101,Zone-A,12.15,13.8,54.1,0
2026-09-03 22:00,MTR-102,Zone-B,22.79,30.19,54.1,1
2026-09-03 22:00,MTR-103,Zone-C,6.03,8.16,54.1,0
2026-09-03 23:00,MTR-101,Zone-A,12.79,14.79,51.6,0
2026-09-03 23:00,MTR-102,Zone-B,22.88,31.12,51.6,1
2026-09-03 23:00,MTR-103,Zone-C,8.97,9.91,51.6,0
2026-09-04 00:00,MTR-101,Zone-A,13.21,16.21,49.2,0
2026-09-04 00:00,MTR-102,Zone-B,23.28,30.34,49.2,0
2026-09-04 00:00,MTR-103,Zone-C,6.41,7.52,49.2,0
2026-09-04 01:00,MTR-101,Zone-A,10.8,14.08,45.3,0
2026-09-04 01:00,MTR-102,Zone-B,21.08,28.99,45.3,0
2026-09-04 01:00,MTR-103,Zone-C,11.45,13.78,45.3,1
2026-09-04 02:00,MTR-101,Zone-A,9.72,12.34,47.9,0
2026-09-04 02:00,MTR-102,Zone-B,24.22,31.59,47.9,0
2026-09-04 02:00,MTR-103,Zone-C,6.45,8.77,47.9,0
2026-09-04 03:00,MTR-101,Zone-A,11.93,14.13,50.6,0
2026-09-04 03:00,MTR-102,Zone-B,23.45,31.03,50.6,1
2026-09-04 03:00,MTR-103,Zone-C,8.96,10.36,50.6,0
2026-09-04 04:00,MTR-101,Zone-A,11.66,15.4,47.4,0
2026-09-04 04:00,MTR-102,Zone-B,23.34,31.94,47.4,0
2026-09-04 04:00,MTR-103,Zone-C,9.12,10.24,47.4,1
2026-09-04 05:00,MTR-101,Zone-A,11.91,15.85,50.0,2
2026-09-04 05:00,MTR-102,Zone-B,23.14,30.4,50.0,0
2026-09-04 05:00,MTR-103,Zone-C,7.81,10.6,50.0,0
2026-09-04 06:00,MTR-101,Zone-A,11.68,15.6,56.7,2
2026-09-04 06:00,MTR-102,Zone-B,22.54,29.99,56.7,0
2026-09-04 06:00,MTR-103,Zone-C,7.54,8.13,56.7,1
2026-09-04 07:00,MTR-101,Zone-A,12.75,14.6,58.2,0
2026-09-04 07:00,MTR-102,Zone-B,24.38,31.69,58.2,0
2026-09-04 07:00,MTR-103,Zone-C,6.16,8.01,58.2,0
2026-09-04 08:00,MTR-101,Zone-A,74.33,83.13,64.0,27
2026-09-04 08:00,MTR-102,Zone-B,153.75,198.53,64.0,35
2026-09-04 08:00,MTR-103,Zone-C,31.86,33.36,64.0,8
2026-09-04 09:00,MTR-101,Zone-A,80.06,88.89,73.1,29
2026-09-04 09:00,MTR-102,Zone-B,191.25,244.63,73.1,45
2026-09-04 09:00,MTR-103,Zone-C,30.8,31.41,73.1,8
2026-09-04 10:00,MTR-101,Zone-A,74.59,84.25,71.1,28
2026-09-04 10:00,MTR-102,Zone-B,194.6,250.53,71.1,46
2026-09-04 10:00,MTR-103,Zone-C,33.24,34.16,71.1,10
2026-09-04 11:00,MTR-101,Zone-A,83.88,92.58,78.0,27
2026-09-04 11:00,MTR-102,Zone-B,171.17,219.23,78.0,33
2026-09-04 11:00,MTR-103,Zone-C,34.63,36.87,78.0,9
2026-09-04 12:00,MTR-101,Zone-A,75.75,84.48,81.1,21
2026-09-04 12:00,MTR-102,Zone-B,194.81,250.66,81.1,42
2026-09-04 12:00,MTR-103,Zone-C,43.55,46.07,81.1,17
2026-09-04 13:00,MTR-101,Zone-A,79.42,88.07,83.4,17
2026-09-04 13:00,MTR-102,Zone-B,180.08,230.24,83.4,35
2026-09-04 13:00,MTR-103,Zone-C,41.68,44.31,83.4,12
2026-09-04 14:00,MTR-101,Zone-A,78.3,86.79,77.8,26
2026-09-04 14:00,MTR-102,Zone-B,195.95,251.88,77.8,43
2026-09-04 14:00,MTR-103,Zone-C,36.99,39.66,77.8,11
2026-09-04 15:00,MTR-101,Zone-A,89.74,99.94,83.6,28
2026-09-04 15:00,MTR-102,Zone-B,206.79,265.55,83.6,45
2026-09-04 15:00,MTR-103,Zone-C,40.97,41.49,83.6,14
2026-09-04 16:00,MTR-101,Zone-A,72.97,81.45,81.8,21
2026-09-04 16:00,MTR-102,Zone-B,208.45,268.21,81.8,46
2026-09-04 16:00,MTR-103,Zone-C,42.3,45.13,81.8,8
2026-09-04 17:00,MTR-101,Zone-A,75.6,83.14,77.1,22
2026-09-04 17:00,MTR-102,Zone-B,186.71,240.31,77.1,41
2026-09-04 17:00,MTR-103,Zone-C,38.93,41.33,77.1,12
2026-09-04 18:00,MTR-101,Zone-A,75.6,84.09,73.8,29
2026-09-04 18:00,MTR-102,Zone-B,179.52,230.71,73.8,39
2026-09-04 18:00,MTR-103,Zone-C,31.23,33.43,73.8,7
2026-09-04 19:00,MTR-101,Zone-A,13.31,15.4,67.7,2
2026-09-04 19:00,MTR-102,Zone-B,22.33,30.52,67.7,0
2026-09-04 19:00,MTR-103,Zone-C,8.45,9.64,67.7,0
2026-09-04 20:00,MTR-101,Zone-A,12.37,14.57,64.9,1
2026-09-04 20:00,MTR-102,Zone-B,22.61,30.2,64.9,0
2026-09-04 20:00,MTR-103,Zone-C,7.16,8.84,64.9,1
2026-09-04 21:00,MTR-101,Zone-A,12.69,16.46,60.9,0
2026-09-04 21:00,MTR-102,Zone-B,21.08,27.41,60.9,0
2026-09-04 21:00,MTR-103,Zone-C,7.98,10.02,60.9,1
2026-09-04 22:00,MTR-101,Zone-A,14.16,16.26,55.9,0
2026-09-04 22:00,MTR-102,Zone-B,20.46,27.77,55.9,0
2026-09-04 22:00,MTR-103,Zone-C,7.03,8.98,55.9,0
2026-09-04 23:00,MTR-101,Zone-A,11.02,13.66,53.5,0
2026-09-04 23:00,MTR-102,Zone-B,22.24,30.01,53.5,0
2026-09-04 23:00,MTR-103,Zone-C,6.47,7.7,53.5,0
2026-09-05 00:00,MTR-101,Zone-A,12.64,14.39,50.6,0
2026-09-05 00:00,MTR-102,Zone-B,22.11,31.11,50.6,0
2026-09-05 00:00,MTR-103,Zone-C,6.9,8.65,50.6,0
2026-09-05 01:00,MTR-101,Zone-A,13.32,15.06,49.9,0
2026-09-05 01:00,MTR-102,Zone-B,21.19,28.35,49.9,0
2026-09-05 01:00,MTR-103,Zone-C,7.56,8.26,49.9,0
2026-09-05 02:00,MTR-101,Zone-A,11.58,14.86,45.5,0
2026-09-05 02:00,MTR-102,Zone-B,21.76,28.46,45.5,1
2026-09-05 02:00,MTR-103,Zone-C,6.83,9.1,45.5,0
2026-09-05 03:00,MTR-101,Zone-A,11.03,14.71,47.7,0
2026-09-05 03:00,MTR-102,Zone-B,21.63,30.07,47.7,0
2026-09-05 03:00,MTR-103,Zone-C,9.13,11.87,47.7,0
2026-09-05 04:00,MTR-101,Zone-A,12.3,15.53,51.4,0
2026-09-05 04:00,MTR-102,Zone-B,21.95,28.59,51.4,0
2026-09-05 04:00,MTR-103,Zone-C,7.81,8.71,51.4,0
2026-09-05 05:00,MTR-101,Zone-A,12.64,15.13,51.8,2
2026-09-05 05:00,MTR-102,Zone-B,23.43,31.57,51.8,0
2026-09-05 05:00,MTR-103,Zone-C,9.19,11.49,51.8,0
2026-09-05 06:00,MTR-101,Zone-A,12.18,15.49,56.1,0
2026-09-05 06:00,MTR-102,Zone-B,24.14,33.04,56.1,0
2026-09-05 06:00,MTR-103,Zone-C,7.33,8.89,56.1,0
2026-09-05 07:00,MTR-101,Zone-A,9.8,11.29,58.5,2
2026-09-05 07:00,MTR-102,Zone-B,20.16,27.97,58.5,1
2026-09-05 07:00,MTR-103,Zone-C,10.5,13.18,58.5,0
2026-09-05 08:00,MTR-101,Zone-A,66.41,75.23,64.7,21
2026-09-05 08:00,MTR-102,Zone-B,156.18,199.6,64.7,34
2026-09-05 08:00,MTR-103,Zone-C,29.68,32.61,64.7,6
2026-09-05 09:00,MTR-101,Zone-A,72.54,81.81,70.1,25
2026-09-05 09:00,MTR-102,Zone-B,176.1,225.04,70.1,39
2026-09-05 09:00,MTR-103,Zone-C,25.66,26.97,70.1,7
2026-09-05 10:00,MTR-101,Zone-A,71.68,79.12,73.3,21
2026-09-05 10:00,MTR-102,Zone-B,179.17,229.16,73.3,40
2026-09-05 10:00,MTR-103,Zone-C,39.52,40.44,73.3,11
2026-09-05 11:00,MTR-101,Zone-A,84.2,94.37,79.0,25
2026-09-05 11:00,MTR-102,Zone-B,192.72,246.45,79.0,42
2026-09-05 11:00,MTR-103,Zone-C,42.24,43.05,79.0,16
2026-09-05 12:00,MTR-101,Zone-A,78.45,86.19,81.7,22
2026-09-05 12:00,MTR-102,Zone-B,235.47,302.36,81.7,57
2026-09-05 12:00,MTR-103,Zone-C,39.71,41.43,81.7,9
2026-09-05 13:00,MTR-101,Zone-A,87.42,97.55,81.1,28
2026-09-05 13:00,MTR-102,Zone-B,237.28,304.66,81.1,59
2026-09-05 13:00,MTR-103,Zone-C,46.29,48.33,81.1,12
2026-09-05 14:00,MTR-101,Zone-A,91.13,100.45,83.3,28
2026-09-05 14:00,MTR-102,Zone-B,200.14,256.87,83.3,43
2026-09-05 14:00,MTR-103,Zone-C,41.71,44.41,83.3,11
2026-09-05 15:00,MTR-101,Zone-A,81.12,90.9,79.9,27
2026-09-05 15:00,MTR-102,Zone-B,204.4,262.01,79.9,46
2026-09-05 15:00,MTR-103,Zone-C,37.83,40.07,79.9,9
2026-09-05 16:00,MTR-101,Zone-A,68.82,76.14,79.1,21
2026-09-05 16:00,MTR-102,Zone-B,161.92,207.74,79.1,28
2026-09-05 16:00,MTR-103,Zone-C,41.65,43.45,79.1,9
2026-09-05 17:00,MTR-101,Zone-A,76.21,84.64,77.0,23
2026-09-05 17:00,MTR-102,Zone-B,192.15,247.09,77.0,41
2026-09-05 17:00,MTR-103,Zone-C,42.69,45.51,77.0,15
2026-09-05 18:00,MTR-101,Zone-A,74.81,82.82,72.9,25
2026-09-05 18:00,MTR-102,Zone-B,163.61,210.26,72.9,36
2026-09-05 18:00,MTR-103,Zone-C,37.64,39.17,72.9,12
2026-09-05 19:00,MTR-101,Zone-A,11.76,13.78,69.5,0
2026-09-05 19:00,MTR-102,Zone-B,21.6,29.41,69.5,0
2026-09-05 19:00,MTR-103,Zone-C,7.98,10.89,69.5,0
2026-09-05 20:00,MTR-101,Zone-A,11.89,13.58,67.1,0
2026-09-05 20:00,MTR-102,Zone-B,22.68,31.41,67.1,0
2026-09-05 20:00,MTR-103,Zone-C,8.31,9.38,67.1,1
2026-09-05 21:00,MTR-101,Zone-A,10.06,13.57,61.1,0
2026-09-05 21:00,MTR-102,Zone-B,20.63,28.71,61.1,1
2026-09-05 21:00,MTR-103,Zone-C,6.46,9.02,61.1,0
2026-09-05 22:00,MTR-101,Zone-A,10.76,13.8,58.7,0
2026-09-05 22:00,MTR-102,Zone-B,20.72,28.71,58.7,0
2026-09-05 22:00,MTR-103,Zone-C,7.96,9.0,58.7,1
2026-09-05 23:00,MTR-101,Zone-A,14.44,16.83,54.1,0
2026-09-05 23:00,MTR-102,Zone-B,22.37,31.44,54.1,0
2026-09-05 23:00,MTR-103,Zone-C,11.37,13.61,54.1,0
